Date2,Date,Habitat,Site,N,E,S,O,N,E,S,O,Canopy_Openness
15-Aug-18,2018/08/15,Tabonuco,,21,42,26,29,21.8,43.7,27,30.2,30.7
15-Aug-18,2018/08/15,Tabonuco,Tabonuco Tubos,9,35,26,20,9.4,36.4,27,20.8,23.4
15-Aug-18,2018/08/15,Tabonuco,,41,36,41,37,42.6,37.4,42.6,38.5,40.3
15-Aug-18,2018/08/15,Tabonuco,,41,39,40,63,42.6,40.6,41.6,65.5,47.6
15-Aug-18,2018/08/15,Tabonuco,Tabonuco Walworfh,16,19,28,18,16.6,19.8,29.1,18.7,21.1
15-Aug-18,2018/08/15,Tabonuco,,22,23,28,40,22.9,23.9,29.1,41.6,29.4
15-Aug-18,2018/08/15,Tabonuco,,18,19,23,24,18.7,19.8,23.9,25,21.8
15-Aug-18,2018/08/15,Palm,Palma Sonadora,25,17,20,23,26,17.7,20.8,23.9,22.1
15-Aug-18,2018/08/15,Palm,,31,27,28,11,32.2,28.1,29.1,11.4,25.22
15-Aug-18,2018/08/15,Palm,,29,35,59,89,30.2,36.4,61.4,92.6,55.12
15-Aug-18,2018/08/15,Palm,Palma Wendy,38,31,34,51,39.5,32.2,35.4,53,40.04
15-Aug-18,2018/08/15,Palm,,20,35,29,21,20.8,36.4,30.2,21.8,27.3
15-Aug-18,2018/08/15,Palm,,17,38,39,48,17.7,39.5,40.6,49.9,36.92
15-Aug-18,2018/08/15,Palm,Palma Estacion,46,28,32,37,47.8,29.1,33.3,38.5,37.18
15-Aug-18,2018/08/15,Palm,,47,52,59,35,48.9,54.1,61.4,36.4,50.18
15-Aug-18,2018/08/15,Palm,,32,55,48,48,33.3,57.2,49.9,49.9,47.58
8-Aug-19,2019/08/08,Tabonuco,Tabonuco Odum,11,12,22,18,11.4,12.5,22.9,18.7,16.4
8-Aug-19,2019/08/08,Tabonuco,,7,17,30,16,7.3,17.7,31.2,16.6,18.2
8-Aug-19,2019/08/08,Tabonuco,,21,17,20,8,21.8,17.7,20.8,8.3,17.2
8-Aug-19,2019/08/08,Tabonuco,Tabonuco Tubos,1,4,10,21,1,4.2,10.4,21.8,9.4
8-Aug-19,2019/08/08,Tabonuco,,27,9,12,10,28.1,9.4,12.5,10.4,15.1
8-Aug-19,2019/08/08,Tabonuco,,39,14,6,44,40.6,14.6,6.2,45.8,26.8
8-Aug-19,2019/08/08,Tabonuco,Tabonuco Walworfh,16,14,28,12,16.6,14.6,29.1,12.5,18.2
8-Aug-19,2019/08/08,Tabonuco,,15,22,27,16,15.6,22.9,28.1,16.6,20.8
8-Aug-19,2019/08/08,Tabonuco,,9,27,18,22,9.4,28.1,18.7,22.9,19.8
8-Aug-19,2019/08/08,Palm,Palma Sonadora,34,12,22,7,35.4,12.5,22.9,7.3,19.5
8-Aug-19,2019/08/08,Palm,,34,11,25,10,35.4,11.4,26,10.4,20.8
8-Aug-19,2019/08/08,Palm,,7,11,13,29,7.3,11.4,13.5,30.2,15.6
8-Aug-19,2019/08/08,Palm,Palma Wendy,22,13,11,12,22.9,13.5,11.4,12.5,15.08
8-Aug-19,2019/08/08,Palm,,16,12,25,29,16.6,12.5,26,30.2,21.32
8-Aug-19,2019/08/08,Palm,,36,29,26,8,37.4,30.2,27,8.3,25.74
8-Aug-19,2019/08/08,Palm,Palma Estacion,17,4,11,18,17.7,4.2,11.4,18.7,13
8-Aug-19,2019/08/08,Palm,,15,8,7,35,15.6,8.3,7.3,36.4,16.9
8-Aug-19,2019/08/08,Palm,,8,10,10,13,8.3,10.4,10.4,13.5,10.66
